Date,Open,High,Low,Close,Adj Close,Volume
2019-08-12,14213.981445,14248.649414,14040.639648,14109.976563,14109.976563,3496613
2019-08-13,14005.971680,14283.317383,13971.303711,14283.317383,14283.317383,3334982
2019-08-14,14421.990234,14456.659180,14213.981445,14213.981445,14213.981445,3906643
2019-08-15,13936.634766,14144.644531,13936.634766,14144.644531,14144.644531,3650039
2019-08-16,14248.649414,14421.990234,14075.308594,14213.981445,14213.981445,4737980
2019-08-19,14283.317383,14421.990234,14213.981445,14213.981445,14213.981445,1811022
2019-08-20,14213.981445,14317.986328,14179.312500,14283.317383,14283.317383,3300209
2019-08-21,14283.317383,14525.995117,14213.981445,14387.322266,14387.322266,6636807
2019-08-22,14525.995117,14525.995117,14283.317383,14283.317383,14283.317383,2851859
2019-08-23,14283.317383,14352.654297,14213.981445,14213.981445,14213.981445,2700063
2019-08-26,14040.639648,14144.644531,13971.303711,14075.308594,14075.308594,4966258
2019-08-27,14179.312500,14213.981445,14005.971680,14075.308594,14075.308594,2810597
2019-08-28,14075.308594,14109.976563,14005.971680,14040.639648,14040.639648,1313593
2019-08-29,14075.308594,14075.308594,13936.634766,14005.971680,14005.971680,1402031
2019-08-30,14005.971680,14109.976563,14005.971680,14005.971680,14005.971680,2082452
2019-09-02,null,null,null,null,null,null
2019-09-03,14005.971680,14075.308594,13832.630859,13832.630859,13832.630859,2370828
2019-09-04,13867.298828,13971.303711,13763.293945,13867.298828,13867.298828,2425605
2019-09-05,13971.303711,14005.971680,13832.630859,13832.630859,13832.630859,1906008
2019-09-06,13832.630859,13971.303711,13797.961914,13797.961914,13797.961914,1910609
2019-09-09,13797.961914,13901.966797,13797.961914,13832.630859,13832.630859,1614272
2019-09-10,13867.298828,13901.966797,13659.289063,13693.957031,13693.957031,3130659
2019-09-11,13728.625977,13763.293945,13659.289063,13728.625977,13728.625977,1740164
2019-09-12,13763.293945,14005.971680,13728.625977,13971.303711,13971.303711,1552587
2019-09-13,13971.303711,14491.327148,13901.966797,14456.659180,14456.659180,9239073
2019-09-16,14352.654297,14664.667969,14352.654297,14387.322266,14387.322266,4944754
2019-09-17,14317.986328,14421.990234,14283.317383,14387.322266,14387.322266,2038810
2019-09-18,14352.654297,14630.000000,14317.986328,14421.990234,14421.990234,7117853
2019-09-19,14456.659180,14768.672852,14456.659180,14734.004883,14734.004883,6910299
2019-09-20,14734.004883,14768.672852,14595.332031,14630.000000,14630.000000,3360293
2019-09-23,14630.000000,14734.004883,14560.664063,14560.664063,14560.664063,3398758
2019-09-24,14560.664063,14630.000000,14387.322266,14387.322266,14387.322266,5039827
2019-09-25,14352.654297,14491.327148,14317.986328,14421.990234,14421.990234,2412249
2019-09-26,14491.327148,14664.667969,14491.327148,14664.667969,14664.667969,3330611
2019-09-27,14664.667969,14768.672852,14664.667969,14664.667969,14664.667969,3467624
2019-09-30,14734.004883,14872.677734,14630.000000,14664.667969,14664.667969,5244092
2019-10-01,14768.672852,14768.672852,14595.332031,14768.672852,14768.672852,4408009
2019-10-02,14734.004883,14838.009766,14525.995117,14560.664063,14560.664063,3332544
2019-10-03,14456.659180,14560.664063,14387.322266,14560.664063,14560.664063,3062687
2019-10-04,14595.332031,14595.332031,14283.317383,14283.317383,14283.317383,3155436
2019-10-07,14317.986328,14387.322266,14248.649414,14248.649414,14248.649414,2729442
2019-10-08,14283.317383,14421.990234,14213.981445,14387.322266,14387.322266,1652549
2019-10-09,14421.990234,14872.677734,14421.990234,14768.672852,14768.672852,8843956
2019-10-10,14768.672852,14838.009766,14664.667969,14664.667969,14664.667969,3487917
2019-10-11,14664.667969,14803.341797,14664.667969,14664.667969,14664.667969,2252463
2019-10-14,14872.677734,15219.360352,14803.341797,15046.019531,15046.019531,10528177
2019-10-15,15046.019531,15115.355469,14976.682617,15046.019531,15046.019531,4157002
2019-10-16,15150.023438,15323.365234,15115.355469,15184.692383,15184.692383,6235128
2019-10-17,15150.023438,15254.028320,15115.355469,15184.692383,15184.692383,4791155
2019-10-18,15184.692383,15219.360352,14907.345703,14976.682617,14976.682617,4660561
2019-10-21,14907.345703,14976.682617,14734.004883,14734.004883,14734.004883,5062974
2019-10-22,14734.004883,14976.682617,14734.004883,14976.682617,14976.682617,3887274
2019-10-23,14976.682617,15115.355469,14803.341797,14872.677734,14872.677734,5359736
2019-10-24,14907.345703,14976.682617,14838.009766,14907.345703,14907.345703,2278598
2019-10-25,14907.345703,15254.028320,14838.009766,15254.028320,15254.028320,6292154
2019-10-28,15323.365234,15496.706055,15254.028320,15254.028320,15254.028320,4495063
2019-10-29,15323.365234,15566.042969,15254.028320,15288.697266,15288.697266,4707664
2019-10-30,15254.028320,15496.706055,15254.028320,15358.033203,15358.033203,5955333
2019-10-31,15462.038086,15531.375000,15254.028320,15254.028320,15254.028320,3868178
2019-11-01,15184.692383,15462.038086,15150.023438,15462.038086,15462.038086,6534725
2019-11-04,15531.375000,15774.052734,15496.706055,15566.042969,15566.042969,8433451
2019-11-05,15600.710938,15635.378906,15531.375000,15531.375000,15531.375000,3835281
2019-11-06,15531.375000,15670.047852,15462.038086,15462.038086,15462.038086,5005112
2019-11-07,15462.038086,15531.375000,15358.033203,15427.370117,15427.370117,4456195
2019-11-08,15531.375000,15600.710938,15427.370117,15462.038086,15462.038086,3137957
2019-11-11,15496.706055,15635.378906,15219.360352,15219.360352,15219.360352,5591845
2019-11-12,15219.360352,15358.033203,15184.692383,15254.028320,15254.028320,4095230
2019-11-13,15288.697266,15566.042969,14976.682617,15150.023438,15150.023438,95468541
2019-11-14,15115.355469,15115.355469,14976.682617,14976.682617,14976.682617,3290720
2019-11-15,14976.682617,15184.692383,14907.345703,15046.019531,15046.019531,3627266
2019-11-18,15011.350586,15011.350586,14838.009766,14838.009766,14838.009766,8523966
2019-11-19,14872.677734,14976.682617,14838.009766,14907.345703,14907.345703,5443929
2019-11-20,14907.345703,14942.014648,14768.672852,14768.672852,14768.672852,4203831
2019-11-21,14768.672852,14907.345703,14664.667969,14768.672852,14768.672852,6850417
2019-11-22,14838.009766,14872.677734,14421.990234,14630.000000,14630.000000,5960857
2019-11-25,14699.336914,14699.336914,14491.327148,14664.667969,14664.667969,3213746
2019-11-26,14734.004883,14734.004883,14595.332031,14699.336914,14699.336914,3065917
2019-11-27,14699.336914,14768.672852,14595.332031,14595.332031,14595.332031,2470920
